cycle,time,pc,instr,alu_result,branch_taken,x1,x2,x3,x4,pc_next
1,16,00000004,00500113,00000005,0,0000000a,00000000,00000000,00000000,00000008
2,26,00000008,002081b3,0000000f,0,0000000a,00000005,00000000,00000000,0000000c
3,36,0000000c,00302023,00000000,0,0000000a,00000005,0000000f,00000000,00000010
4,46,00000010,00002203,00000000,0,0000000a,00000005,0000000f,00000000,00000014
5,56,00000014,00000000,00000000,0,0000000a,00000005,0000000f,0000000f,00000018
6,66,00000018,00000000,00000000,0,0000000a,00000005,0000000f,0000000f,0000001c
7,76,0000001c,00000000,00000000,0,0000000a,00000005,0000000f,0000000f,00000020
8,86,00000020,00000000,00000000,0,0000000a,00000005,0000000f,0000000f,00000024
9,96,00000024,00000000,00000000,0,0000000a,00000005,0000000f,0000000f,00000028
10,106,00000028,00000000,00000000,0,0000000a,00000005,0000000f,0000000f,0000002c
11,116,0000002c,00000000,00000000,0,0000000a,00000005,0000000f,0000000f,00000030
12,126,00000030,00000000,00000000,0,0000000a,00000005,0000000f,0000000f,00000034
